Ticker.Symbol,Security,SEC.filings,GICS.Sector,GICS.Sub.Industry,City,State,Country,Date.first.added,CIK,Financials.,marketcap
TGNA,"Tegna, Inc.",reports,Consumer Discretionary,Publishing,McLean, Virginia,United States,12/31/1975,39899,1,31496773.53
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,Minneapolis, Minnesota,United States,12/31/1976,27419,1,221688325.2
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York, New York,United States,,98246,1,40093254
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,Framingham, Massachusetts,United States,9/30/1985,109198,1,174053664
TMK,Torchmark Corp.,reports,Financials,Life & Health Insurance,McKinney, Texas,United States,4/30/1989,320335,1,21360896.58
TMO,Thermo Fisher Scientific,reports,Health Care,Health Care Equipment,Waltham, Massachusetts,United States,,97745,1,150017526.4
TRIP,TripAdvisor,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Newton, Massachusetts,United States,12/21/2011,1526520,1,70431391.48
TROW,T. Rowe Price Group,reports,Financials,Diversified Financial Services,Baltimore, Maryland,United States,,1113169,0,98575550.62
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,New York, New York,United States,,86312,1,123766618
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Retail,Brentwood, Tennessee,United States,1/24/2014,916365,1,43226860.86
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,Springdale, Arkansas,United States,,100493,0,110567568
TSO,Tesoro Petroleum Co.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,San Antonio, Texas,United States,9/27/2007,50104,1,120995815.8
TSS,Total System Services,reports,Information Technology,Internet Software & Services,Columbus, Georgia,United States,1/2/2008,721683,1,40689996.17
TWX,Time Warner Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,New York, New York,United States,,1105705,0,253362288.4
TXN,Texas Instruments,reports,Information Technology,Semiconductors,Dallas, Texas,United States,,97476,1,314632050.3
TXT,Textron Inc.,reports,Industrials,Industrial Conglomerates,Providence, Rhode Island,United States,12/31/1978,217346,1,51774673.07
UAA,Under Armour,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Baltimore, Maryland,United States,3/25/2016,1336917,0,107769686.3
UAL,United Continental Holdings,reports,Industrials,Airlines,Chicago, Illinois,United States,9/3/2015,100517,1,124231242.9
UDR,UDR Inc,reports,Real Estate,Residential REITs,Highlands Ranch, Colorado,United States,3/7/2016,74208,1,61483392
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,King of Prussia, Pennsylvania,United States,9/20/2014,352915,1,61359982.27
ULTA,Ulta Salon Cosmetics & Fragrance Inc,reports,Consumer Discretionary,Specialty Stores,Bolingbrook, Illinois,United States,4/18/2016,1403568,1,101772048.8
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,Minnetonka, Minnesota,United States,7/1/1994,731766,1,455393800.1
UNM,Unum Group,reports,Financials,Diversified Financial Services,Chattanooga, Tennessee,United States,3/1/1994,5513,1,46302220
UNP,Union Pacific,reports,Industrials,Railroads,Omaha, Nebraska,United States,,100885,1,302102784
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,Atlanta, Georgia,United States,,1090727,1,196974446.3
URBN,Urban Outfitters,reports,Consumer Discretionary,Apparel Retail,Philadelphia, Pennsylvania,United States,2/8/2010,912615,1,27312320
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,Stamford, Connecticut,United States,9/20/2014,1067701,0,123370232.3
USB,U.S. Bancorp,reports,Financials,Banks,Minneapolis, Minnesota,United States,,36104,0,266332896.8
UTX,United Technologies,reports,Industrials,Industrial Conglomerates,Hartford, Connecticut,United States,,101829,1,241010538.6
V,Visa Inc.,reports,Information Technology,Internet Software & Services,San Francisco, California,United States,12/21/2009,1403161,0,523451763.9
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,Palo Alto, California,United States,2/12/2007,203527,1,49747097.45
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Greensboro, North Carolina,United States,6/30/1979,103379,1,128696200.2
VIAB,Viacom Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,New York, New York,United States,,1339947,1,89231214.92
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing & Transportation,San Antonio, Texas,United States,,1035002,1,174414128
VMC,Vulcan Materials,reports,Materials,Construction Materials,Birmingham, Alabama,United States,,1396009,1,89619916.43
VNO,Vornado Realty Trust,reports,Real Estate,REITs,New York, New York,United States,,899689,1,96688370.78
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,Jersey City, New Jersey,United States,10/8/2015,1442145,1,42589897.95
VRSN,Verisign Inc.,reports,Information Technology,Internet Software & Services,Dulles, Virginia,United States,,1014473,1,41496185
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,Cambridge, Massachusetts,United States,9/23/2013,875320,1,99019844.31
VTR,Ventas Inc,reports,Real Estate,REITs,Chicago, Illinois,United States,3/4/2009,740260,1,107984544
VZ,Verizon Communications,reports,Telecommunications Services,Integrated Telecommunications Services,New York, New York,United States,11/30/1983,732712,1,664089916.4
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,Milford, Massachusetts,United States,,1000697,1,62383837.54
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,Deerfield, Illinois,United States,12/31/1979,1618921,0,276683238.7
WDC,Western Digital,reports,Information Technology,Computer Storage & Peripherals,Irvine, California,United States,7/1/2009,106040,1,191897586.5
WEC,Wec Energy Group Inc,reports,Utilities,Electric Utilities,Milwaukee, Wisconsin,United States,10/31/2008,783325,1,71658572.44
WFC,Wells Fargo,reports,Financials,Banks,San Francisco, California,United States,6/30/1976,72971,1,831913020.1
WFM,Whole Foods Market,reports,Consumer Staples,Food Retail,Austin, Texas,United States,,865436,1,83282700
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,Benton Harbor, Michigan,United States,,106640,1,83287015.83
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,London,NA,United Kingdom,1/5/2016,1140536,0,57031391.53
WM,Waste Management Inc.,reports,Industrials,Environmental Services,Houston, Texas,United States,,823768,1,87261850.92
WMB,Williams Cos.,reports,Energy,Oil & Gas Exploration & Production,Tulsa, Oklahoma,United States,3/31/1975,107263,1,123946538
